gen,GA-SLHH mean,GA-SLHH var,CCHIHH (stable) mean,CCHIHH (stable) var
50,55.90255,6.386250000002252e-05,55.739239999999995,4.3964399999994025e-05
100,55.90023,7.302010000001185e-05,55.696630000000006,7.747210000000385e-05
150,55.89941,6.524490000001257e-05,55.6678,8.826999999998603e-05
200,55.89916000000001,6.2912400000014e-05,55.652229999999996,0.00012560009999999273
250,55.89883999999999,6.196440000000304e-05,55.63436,0.0001496203999999962
300,55.89842,5.643359999999983e-05,55.61794999999999,0.00013779250000002665
350,55.89818,5.604959999999442e-05,55.59985,0.00010537849999998753
400,55.89790000000001,4.935199999999293e-05,55.583389999999994,0.00010487290000000626
450,55.89763000000001,4.774009999999535e-05,55.56658,6.334360000000033e-05
500,55.89735,4.3310500000005846e-05,55.55137,8.549209999999928e-05
550,55.89725,4.225050000000099e-05,55.53453999999999,9.200040000000484e-05
600,55.89725,4.225050000000099e-05,55.5222,9.375600000001731e-05
650,55.89666,3.741839999999617e-05,55.509389999999996,0.00010987690000000675
700,55.89639,3.91328999999936e-05,55.49819,9.245490000000588e-05
750,55.89548,4.208959999999515e-05,55.48728,8.438960000001377e-05
800,55.89548,4.208959999999515e-05,55.477940000000004,0.0001061604000000058
850,55.89548,4.208959999999515e-05,55.4693,0.00011199200000001572
900,55.895039999999995,4.390239999999631e-05,55.46082,9.249759999998734e-05
950,55.894420000000004,3.210160000000035e-05,55.45068,0.00012276359999999618
1000,55.894420000000004,3.210160000000035e-05,55.441779999999994,9.683359999997818e-05
1050,55.89329,3.699690000000333e-05,55.43335,7.660849999998962e-05
1100,55.893100000000004,3.500000000000398e-05,55.425869999999996,9.03320999999975e-05
1150,55.89255000000001,3.2882500000002516e-05,55.41835,8.558050000001225e-05
1200,55.89224,3.3350399999996976e-05,55.410709999999995,8.209490000001275e-05
1250,55.89224,3.3350399999996976e-05,55.403999999999996,8.191999999998565e-05
1300,55.89224,3.3350399999996976e-05,55.39698,7.977359999999898e-05
1350,55.8922,3.2495999999998735e-05,55.39089,8.988490000001452e-05
1400,55.8922,3.2495999999998735e-05,55.385090000000005,7.482289999999392e-05
1450,55.8922,3.2495999999998735e-05,55.37976,6.747240000000132e-05
1500,55.8922,3.2495999999998735e-05,55.37356,8.56004000000114e-05
1550,55.8922,3.2495999999998735e-05,55.36762,6.732959999999739e-05
1600,55.89217,3.2648100000000186e-05,55.362379999999995,6.726160000000575e-05
1650,55.89124,3.926040000000086e-05,55.35686,6.324039999999187e-05
1700,55.890930000000004,3.624409999999783e-05,55.35123,6.32581000000029e-05
1750,55.89068999999999,3.532490000000744e-05,55.34502,4.9677599999998035e-05
1800,55.89038000000001,3.3809600000007084e-05,55.3404,5.6740000000015486e-05
1850,55.890229999999995,3.497209999999013e-05,55.33561999999999,5.6043599999998265e-05
1900,55.890229999999995,3.497209999999013e-05,55.330349999999996,7.679849999999961e-05
1950,55.890229999999995,3.497209999999013e-05,55.32437,6.706809999998503e-05
2000,55.88989,2.7940899999993233e-05,55.3212,0.00011354200000001277
2050,55.88971,3.2476899999999716e-05,55.316329999999994,0.00012234209999999212
2100,55.88971,3.2476899999999716e-05,55.31362,0.00010313960000000042
2150,55.88971,3.2476899999999716e-05,55.309929999999994,0.0001439500999999887
2200,55.88905,3.8758500000004044e-05,55.305960000000006,0.0001482223999999945
2250,55.88892,3.918360000000466e-05,55.30173,0.00012497209999998198
2300,55.88862,3.4125600000005384e-05,55.29749,0.00015198490000002167
2350,55.88862,3.4125600000005384e-05,55.29344999999999,0.00014110050000002276
2400,55.88862,3.4125600000005384e-05,55.28991,0.00012632289999999963
2450,55.88823,3.405210000000121e-05,55.28568,0.000132041600000004
2500,55.886720000000004,3.201360000000372e-05,55.28303,0.00013986209999999536
2550,55.886630000000004,3.102810000000202e-05,55.280629999999995,0.00011577009999999504
2600,55.88607,2.8172100000002115e-05,55.277390000000004,0.00013531290000002986
2650,55.88607,2.8172100000002115e-05,55.27524,0.00014773440000000364
2700,55.88607,2.8172100000002115e-05,55.27241,0.0001523849000000061
2750,55.885149999999996,4.199050000000241e-05,55.267920000000004,0.00017650360000000227
2800,55.885149999999996,4.199050000000241e-05,55.266890000000004,0.00017093289999999063
2850,55.885149999999996,4.199050000000241e-05,55.26467,0.0001695880999999993
2900,55.885149999999996,4.199050000000241e-05,55.261720000000004,0.00015631360000001706
2950,55.885149999999996,4.199050000000241e-05,55.25840000000001,0.0001530919999999941
3000,55.885149999999996,4.199050000000241e-05,55.255129999999994,0.00014406409999996513
3050,55.885149999999996,4.199050000000241e-05,55.252449999999996,0.0001492545000000047
3100,55.88478,4.285560000000437e-05,55.25076,0.00013196839999998904
3150,55.88478,4.285560000000437e-05,55.24959,0.0001256969000000032
3200,55.88478,4.285560000000437e-05,55.24687,0.00014725410000001468
3250,55.88478,4.285560000000437e-05,55.243579999999994,0.00016156560000001304
3300,55.88478,4.285560000000437e-05,55.24074,0.00014982040000002572
3350,55.88469,4.3572900000005676e-05,55.23917,0.00016345210000001767
3400,55.88469,4.3572900000005676e-05,55.2371,0.00013793200000000039
3450,55.88454,4.335240000000592e-05,55.23429,0.0001462448999999976
3500,55.88454,4.335240000000592e-05,55.2321,0.00013336800000000876
3550,55.88454,4.335240000000592e-05,55.23010000000001,0.00013323799999999386
3600,55.88454,4.335240000000592e-05,55.22831,0.00011147090000000878
3650,55.88454,4.335240000000592e-05,55.224959999999996,0.00012279839999998748
3700,55.88454,4.335240000000592e-05,55.22291,0.00012519289999999683
3750,55.88454,4.335240000000592e-05,55.22146,0.0001330463999999834
3800,55.88454,4.335240000000592e-05,55.21921,0.00012736089999997616
3850,55.884389999999996,4.161690000000633e-05,55.217909999999996,0.00011617489999999546
3900,55.884389999999996,4.161690000000633e-05,55.2159,0.00012149999999999925
3950,55.884389999999996,4.161690000000633e-05,55.21435,0.00011686649999999871
4000,55.884389999999996,4.161690000000633e-05,55.21328,0.00011866960000001115
4050,55.88436,4.1612400000006324e-05,55.20974,0.00014549639999999664
4100,55.88436,4.1612400000006324e-05,55.20784,0.00013533839999998394
4150,55.88427,4.32621000000094e-05,55.205650000000006,0.00015309049999999506
4200,55.883720000000004,5.651160000000634e-05,55.202960000000004,0.00022977439999996482
4250,55.8836,5.5254000000009476e-05,55.20173,0.00021443210000003226
4300,55.8836,5.5254000000009476e-05,55.200810000000004,0.00021271890000001812
4350,55.8836,5.5254000000009476e-05,55.19851,0.0002050888999999976
4400,55.88357,5.5460100000006574e-05,55.19736,0.00020099240000000278
4450,55.8832,5.9334000000008224e-05,55.19595,0.00020554049999999859
4500,55.88295000000001,6.33465000000042e-05,55.19424,0.00024357239999997661
4550,55.882450000000006,6.024650000000379e-05,55.19279,0.00021590089999996395
4600,55.882450000000006,6.024650000000379e-05,55.190470000000005,0.0001920621000000284
4650,55.882450000000006,6.024650000000379e-05,55.18853,0.00017779010000001325
4700,55.882450000000006,6.024650000000379e-05,55.18805999999999,0.00016862040000000317
4750,55.8822,5.7584000000006285e-05,55.186490000000006,0.00018821289999998005
4800,55.8822,5.7584000000006285e-05,55.18491,0.0001924768999999679
4850,55.8822,5.7584000000006285e-05,55.18374,0.00017740839999996535
4900,55.88201,5.9014899999998777e-05,55.182269999999995,0.00018041209999999366
4950,55.881420000000006,5.437160000000469e-05,55.181039999999996,0.0001744664000000068
5000,55.88111,5.214890000000289e-05,55.17993,0.00015955210000000804
5050,55.88111,5.214890000000289e-05,55.17832,0.00013970559999999156
5100,55.88111,5.214890000000289e-05,55.17677,0.00011096809999997816
5150,55.88111,5.214890000000289e-05,55.17555,0.0001147224999999717
5200,55.8809,5.187800000000332e-05,55.17398000000001,0.00010883959999999648
5250,55.88081,5.3228900000005334e-05,55.17309,0.00012346689999998665
5300,55.88072,5.2295600000003796e-05,55.171580000000006,0.0001230216000000038
5350,55.88066,5.234240000000357e-05,55.1709,0.00013216999999999784
5400,55.880190000000006,4.917290000000005e-05,55.16767,0.0001131820999999796
5450,55.879780000000004,5.084159999999909e-05,55.166250000000005,0.00010929449999998642
5500,55.879780000000004,5.084159999999909e-05,55.165549999999996,0.00010421650000000483
5550,55.879780000000004,5.084159999999909e-05,55.16431,9.88349000000262e-05
5600,55.879110000000004,5.016489999999903e-05,55.16366000000001,9.48264000000273e-05
5650,55.879110000000004,5.016489999999903e-05,55.16233999999999,0.00010412040000003249
5700,55.879110000000004,5.016489999999903e-05,55.161080000000005,0.00010081959999999044
5750,55.879110000000004,5.016489999999903e-05,55.15955,9.808850000001385e-05
5800,55.879110000000004,5.016489999999903e-05,55.15668000000001,0.00012472760000000456
5850,55.879110000000004,5.016489999999903e-05,55.15597,0.0001343781000000079
5900,55.879110000000004,5.016489999999903e-05,55.15499,0.0001549749000000124
5950,55.879110000000004,5.016489999999903e-05,55.15469,0.00015426489999999558
6000,55.87908,4.921959999998997e-05,55.1543,0.00015481599999998168
6050,55.87908,4.921959999998997e-05,55.153470000000006,0.00014289809999997355
6100,55.87908,4.921959999998997e-05,55.151520000000005,0.000144799599999976
6150,55.87904999999999,4.959849999999359e-05,55.15078,0.00014354559999997795
6200,55.87904999999999,4.959849999999359e-05,55.14955,0.0001372284999999839
6250,55.87904999999999,4.959849999999359e-05,55.148810000000005,0.0001559668999999953
6300,55.87886999999999,4.857609999999253e-05,55.14765,0.00016899849999999213
6350,55.878840000000004,4.876239999999429e-05,55.14645,0.00017347449999996877
6400,55.87868999999999,4.9936899999994626e-05,55.14528,0.00018927160000000177
6450,55.87868999999999,4.9936899999994626e-05,55.144420000000004,0.0002045096000000115
6500,55.87866,4.981239999999644e-05,55.14335,0.00022824050000002494
6550,55.87866,4.981239999999644e-05,55.14264000000001,0.00023307840000002584
6600,55.87866,4.981239999999644e-05,55.14205,0.0002393005000000228
6650,55.87866,4.981239999999644e-05,55.14061,0.00024604290000001963
6700,55.87866,4.981239999999644e-05,55.13872,0.00023954760000000964
6750,55.87866,4.981239999999644e-05,55.137699999999995,0.0002535319999999837
6800,55.87866,4.981239999999644e-05,55.13758,0.0002555575999999908
6850,55.87835,5.350449999999194e-05,55.13718,0.00022895559999998286
6900,55.87835,5.350449999999194e-05,55.13591,0.00020026890000002934
6950,55.87835,5.350449999999194e-05,55.134159999999994,0.00019721240000002217
7000,55.87829000000001,5.4418900000000734e-05,55.13274,0.0002023664000000216
7050,55.87829000000001,5.4418900000000734e-05,55.13185,0.0002174805000000368
7100,55.87829000000001,5.4418900000000734e-05,55.130280000000006,0.00023199760000002686
7150,55.87829000000001,5.4418900000000734e-05,55.12961,0.00021547489999999993
7200,55.87802000000001,4.6213600000008126e-05,55.12888,0.00020627159999997785
7250,55.87802000000001,4.6213600000008126e-05,55.12799,0.00020847489999996593
7300,55.8779,4.529200000001072e-05,55.1269,0.00020914599999996816
7350,55.877840000000006,4.492840000001156e-05,55.12573,0.00018014809999999457
7400,55.877840000000006,4.492840000001156e-05,55.12533,0.0001859560999999921
7450,55.877840000000006,4.492840000001156e-05,55.12521,0.0001858888999999895
7500,55.877840000000006,4.492840000001156e-05,55.124919999999996,0.00018214560000001287
7550,55.877599999999994,4.282600000001155e-05,55.12458,0.00017959560000001195
7600,55.877599999999994,4.282600000001155e-05,55.12413,0.00016409009999997522
7650,55.877599999999994,4.282600000001155e-05,55.12388,0.0001703375999999942
7700,55.877539999999996,4.3350400000010304e-05,55.12172,0.00018742359999999713
7750,55.877539999999996,4.3350400000010304e-05,55.121410000000004,0.00017292489999997995
7800,55.87732,3.7423600000004254e-05,55.12029,0.0001530228999999935
7850,55.87732,3.7423600000004254e-05,55.1189,0.00014933000000000356
7900,55.87732,3.7423600000004254e-05,55.1189,0.00014933000000000356
7950,55.87732,3.7423600000004254e-05,55.11887,0.00014986610000000856
8000,55.87732,3.7423600000004254e-05,55.11829,0.00014698690000000336
8050,55.87732,3.7423600000004254e-05,55.11719000000001,0.00014822490000000881
8100,55.87732,3.7423600000004254e-05,55.11574,0.0001549684000000037
8150,55.87732,3.7423600000004254e-05,55.11472,0.00014990560000002198
8200,55.87732,3.7423600000004254e-05,55.11357,0.00015416410000002653
8250,55.87732,3.7423600000004254e-05,55.11319999999999,0.0001577420000000303
8300,55.8768,4.9342000000008616e-05,55.112249999999996,0.00012951649999999292
8350,55.87670000000001,5.0212000000012936e-05,55.11186,0.00013222639999996999
8400,55.87670000000001,5.0212000000012936e-05,55.111149999999995,0.00012557649999997284
8450,55.87670000000001,5.0212000000012936e-05,55.11072,0.00012562159999997881
8500,55.87670000000001,5.0212000000012936e-05,55.10964,0.00011265239999998656
8550,55.87670000000001,5.0212000000012936e-05,55.10954,0.0001110983999999901
8600,55.87670000000001,5.0212000000012936e-05,55.10901,0.00011219289999999203
8650,55.8763,5.1732000000013524e-05,55.10812,0.00010010160000000607
8700,55.8763,5.1732000000013524e-05,55.10794,9.635040000000522e-05
8750,55.8763,5.1732000000013524e-05,55.10714,8.91004000000077e-05
8800,55.8763,5.1732000000013524e-05,55.106550000000006,9.187249999999586e-05
8850,55.8763,5.1732000000013524e-05,55.10603,9.601010000000589e-05
8900,55.8763,5.1732000000013524e-05,55.105909999999994,9.746690000001144e-05
8950,55.8763,5.1732000000013524e-05,55.10551,9.524290000001628e-05
9000,55.8763,5.1732000000013524e-05,55.10471,8.675089999999222e-05
9050,55.8763,5.1732000000013524e-05,55.10434,7.418839999999031e-05
9100,55.8763,5.1732000000013524e-05,55.10367,6.808410000000426e-05
9150,55.8763,5.1732000000013524e-05,55.103210000000004,6.889290000000497e-05
9200,55.876239999999996,5.1248400000014334e-05,55.10271,7.526489999999994e-05
9250,55.87568,4.985960000001092e-05,55.10231,7.639689999999354e-05
9300,55.87568,4.985960000001092e-05,55.10151,7.875689999999025e-05
9350,55.87568,4.985960000001092e-05,55.10108,8.08815999999951e-05
9400,55.87568,4.985960000001092e-05,55.100649999999995,8.192649999998594e-05
9450,55.87568,4.985960000001092e-05,55.10016,9.074639999999825e-05
9500,55.87568,4.985960000001092e-05,55.10007,9.11121000000091e-05
9550,55.87568,4.985960000001092e-05,55.09932,0.00010395360000001053
9600,55.87564999999999,5.009450000000762e-05,55.09864,0.00012187840000000793
9650,55.87555,4.9194500000009187e-05,55.098299999999995,0.00012367600000000987
9700,55.87555,4.9194500000009187e-05,55.09682,0.00012283560000001472
9750,55.87555,4.9194500000009187e-05,55.09615,0.0001377805000000096
9800,55.87527,5.278410000000101e-05,55.0947,0.00016701400000003098
9850,55.874990000000004,5.098490000000856e-05,55.093959999999996,0.000173976400000024
9900,55.874990000000004,5.098490000000856e-05,55.09331999999999,0.00017806360000001441
9950,55.874990000000004,5.098490000000856e-05,55.09312,0.0001772876000000206
10000,55.874990000000004,5.098490000000856e-05,55.092690000000005,0.00016442290000000175
