gen,GA mean,GA var,DE mean,DE var,GDE mean,GDE var,CCHIHH (non-stable) mean,CCHIHH (non-stable) var,CCHIHH (stable) mean,CCHIHH (stable) var
50,55.80224761904761,1.1684399092963165e-05,55.77220952380952,0.0006617941950113535,55.767452380952385,7.557868480725752e-05,55.746895238095235,4.911378684807141e-05,55.763771428571424,0.0011322801360543941
100,55.801761904761904,1.46214058956847e-05,55.75592380952381,0.0008009141950113234,55.75324285714286,9.766054421768533e-05,55.71768095238095,8.616916099773535e-05,55.73595714285714,0.0030697195918367413
150,55.801247619047615,2.4397732426298333e-05,55.752338095238095,0.0009206433106575938,55.742595238095234,0.00010735759637189781,55.69537142857142,0.00012546585034013398,55.720842857142856,0.004534342448979534
200,55.80102380952381,2.6304671201811752e-05,55.74899523809524,0.0009712271201814214,55.73551428571428,0.00010901455782313128,55.68508571428571,0.0001742536054421809,55.71125238095239,0.005619385351473805
250,55.80102380952381,2.6304671201811752e-05,55.745404761904766,0.001211649024943298,55.72828095238095,0.00015344344671202478,55.6755238095238,0.00040831514739229474,55.699461904761904,0.007128136643990742
300,55.800352380952376,2.758344671201281e-05,55.74326190476191,0.0012830833106576072,55.72290952380953,0.0001838494331065687,55.66726190476191,0.0005649052154195223,55.68968095238095,0.0084389463038548
350,55.79995714285714,2.5740544217681727e-05,55.73915238095238,0.0017765453514739522,55.7195380952381,0.00021823378684806093,55.66007142857143,0.0008420287074830185,55.67802380952381,0.01013734371882076
400,55.79888095238095,2.615297052153857e-05,55.73459523809524,0.002161420453514798,55.71470000000001,0.00021634190476185227,55.6534,0.001081335238095205,55.6659380952381,0.012145638548752655
450,55.79850952380953,2.481990929704894e-05,55.728614285714286,0.0028390278911564234,55.71091428571429,0.0001994126530612056,55.646971428571426,0.0014537648979591527,55.65680476190476,0.013731627120181217
500,55.79850952380953,2.481990929704894e-05,55.72127142857143,0.003931714421768732,55.708414285714284,0.00021716503401359157,55.642071428571434,0.0018170353741496603,55.64879523809524,0.015251204263038332
550,55.79850952380953,2.481990929704894e-05,55.716971428571426,0.0045549896598640165,55.70628095238095,0.0002253015419501288,55.63582857142857,0.00224194204081636,55.6385,0.01729239999999992
600,55.79833333333334,2.3435555555551526e-05,55.71398095238095,0.0051713291609976975,55.70347619047619,0.0002833789569161224,55.63065714285714,0.0026209976870748323,55.63135238095238,0.018788930113378562
650,55.79793333333333,2.3747936507933636e-05,55.71301904761905,0.005254813922902503,55.700847619047615,0.00031302916099774507,55.62575714285715,0.003082129115646264,55.6236619047619,0.020494505215419418
700,55.79774285714286,2.410530612244642e-05,55.711842857142855,0.005392961496598682,55.69939047619048,0.00031489324263039544,55.62232857142857,0.0034669801360544387,55.61749523809524,0.021874861405895594
750,55.79733333333333,2.249841269840866e-05,55.70879523809524,0.005590609024943326,55.69742380952381,0.00030798943310658764,55.617580952380955,0.004080964399092999,55.61051428571428,0.023526306938775228
800,55.79698095238095,2.623963718820803e-05,55.70731428571428,0.0057969659863944785,55.69651428571429,0.00029790979591838687,55.61290952380953,0.004553448480725768,55.6042761904762,0.02505825705215399
850,55.79698095238095,2.623963718820803e-05,55.704790476190475,0.00609615705215415,55.694947619047625,0.0002978596371882373,55.60775238095238,0.00504288630385484,55.59899047619048,0.026382525623582544
900,55.79667619047619,2.791229024943115e-05,55.70108571428572,0.00652106598639456,55.69368095238095,0.000345481541950152,55.603814285714286,0.005402580272108829,55.59318571428571,0.027880824081632453
950,55.7965,2.937047619047551e-05,55.69836190476191,0.006661917596371835,55.69291904761905,0.0003541139229025239,55.5985619047619,0.005843505215419423,55.587157142857144,0.02946421673469363
1000,55.796309523809526,2.872467120181318e-05,55.69497619047619,0.006984858956915968,55.691738095238094,0.00032346045351473366,55.59487142857142,0.006138833469387726,55.58228571428572,0.030790603129251436
1050,55.796119047619044,3.010154195011413e-05,55.69374285714286,0.007270665306122321,55.69128571428572,0.0003282764625850341,55.591776190476196,0.006584161814059012,55.57727142857142,0.03218034394557805
1100,55.796119047619044,3.010154195011413e-05,55.69199523809524,0.007530165215419475,55.69050000000001,0.0003396285714285763,55.588861904761906,0.006949396643990872,55.572047619047616,0.033664867256235506
1150,55.79590952380952,2.7467528344674305e-05,55.691204761904764,0.0076109995011337545,55.68984761904761,0.0003550786848072551,55.585838095238095,0.007396696643990995,55.567390476190475,0.03502786276643968
1200,55.79590952380952,2.7467528344674305e-05,55.69083809523809,0.007649229024943292,55.68929047619048,0.00037791133786848626,55.58282857142857,0.007783822993197227,55.56330476190477,0.036228016643990876
1250,55.79590952380952,2.7467528344674305e-05,55.68932857142857,0.007736044897959084,55.68857142857143,0.000415624897959179,55.579857142857136,0.008554909115646245,55.55815238095238,0.037776365351473704
1300,55.79555714285714,3.066244897959382e-05,55.68875714285714,0.007832289115646214,55.68766190476191,0.00040555854875284084,55.57679999999999,0.009051112380952367,55.55437619047619,0.038928841814058805
1350,55.79540000000001,2.9728571428572938e-05,55.68788095238095,0.007921832018140612,55.6868761904762,0.00041731895691611884,55.574309523809525,0.00947713990929695,55.55066666666667,0.040085386984126725
1400,55.79540000000001,2.9728571428572938e-05,55.68685238095238,0.00798415678004532,55.68637619047619,0.00042011514739231915,55.57222857142857,0.009809256326530583,55.54671428571429,0.0413332926530607
1450,55.7948619047619,2.965473922902931e-05,55.68519523809524,0.008064088072562384,55.68583333333333,0.0004146536507936754,55.56869047619047,0.010018180861677948,55.54278571428571,0.0425912859863942
1500,55.7948619047619,2.965473922902931e-05,55.68460952380953,0.008188249433106629,55.68562857142857,0.0004169801360544464,55.56553809523809,0.010526201405895566,55.539357142857135,0.04371514530612212
1550,55.79468571428571,3.276408163265314e-05,55.68412380952381,0.008239605623582847,55.685452380952384,0.0004057005895691798,55.56263333333333,0.010778008888888788,55.536185714285715,0.0447658793197277
1600,55.79414285714285,3.333197278911235e-05,55.68308571428572,0.008220615510204131,55.68483809523809,0.000410981405895722,55.560547619047625,0.011165852018140469,55.532223809523806,0.04608332848072538
1650,55.79414285714285,3.333197278911235e-05,55.68195714285715,0.008359696734694003,55.684280952380945,0.0003977129705215743,55.558171428571434,0.011723447755101923,55.52924761904762,0.04709025201814046
1700,55.793747619047615,2.892820861677851e-05,55.680390476190475,0.008389065623582801,55.68425238095239,0.00039774535147395543,55.55517142857143,0.012285664897959287,55.52574761904762,0.048290082494330984
1750,55.79351428571429,2.9885034013598923e-05,55.680152380952386,0.008367778684807307,55.68410952380952,0.00039462562358280633,55.55294285714285,0.012799765306122288,55.52222380952381,0.04950942752834443
1800,55.79351428571429,2.9885034013598923e-05,55.67988571428571,0.008378169795918381,55.683257142857144,0.00039068625850344197,55.55060952380952,0.013285461814058864,55.518990476190474,0.05064176657596327
1850,55.79351428571429,2.9885034013598923e-05,55.67921428571429,0.008403888843537422,55.68287142857143,0.0003703144217687312,55.54861904761905,0.013550357732426207,55.516038095238095,0.05168709664399079
1900,55.79351428571429,2.9885034013598923e-05,55.67870952380952,0.008571779909297137,55.68167619047619,0.00036265419501135495,55.545809523809524,0.013972061814058951,55.51341428571428,0.05262627741496591
1950,55.793190476190475,3.275800453514346e-05,55.678328571428565,0.00871332013605455,55.6809,0.00036057523809525556,55.543971428571425,0.014373051564625853,55.50992380952381,0.05388458562358274
2000,55.79298571428572,3.3920272108839564e-05,55.67749523809524,0.008787123310657742,55.67990952380952,0.00034110562358276113,55.54022857142858,0.014612341088435291,55.50765238095238,0.0547201615419497
2050,55.79268095238095,3.39120181405847e-05,55.67696666666667,0.008854418412698527,55.67989523809524,0.00034087854875282695,55.53732857142857,0.014816951564625895,55.504709523809524,0.055803676099773165
2100,55.79249047619047,3.306848072561966e-05,55.67659999999999,0.008903649523809636,55.679095238095236,0.0003252442630385525,55.53473333333333,0.0151662736507937,55.5025238095238,0.05661561800453488
2150,55.79228571428571,3.267455782312588e-05,55.676247619047615,0.008919077732426414,55.678871428571426,0.0003209525170068121,55.53276666666667,0.015323573650793811,55.50011428571429,0.05752302312925135
2200,55.792257142857146,3.273578231292167e-05,55.675761904761906,0.008943004263038698,55.67850952380953,0.00031766562358277197,55.52967142857143,0.015433394421768745,55.497704761904764,0.058438453786847644
2250,55.79206666666666,3.5045079365074294e-05,55.675352380952376,0.008959041541950201,55.67833333333333,0.00031399079365079774,55.526738095238095,0.015571020453514849,55.49551904761905,0.05926983773242619
2300,55.791728571428564,3.84372789115637e-05,55.67516190476191,0.008972777596371963,55.67817142857143,0.0003137810884353788,55.52399047619048,0.01567850848072571,55.4931,0.06021052285714239
2350,55.791728571428564,3.84372789115637e-05,55.67492857142857,0.008960504897959218,55.677647619047626,0.00030811868480725416,55.52155714285715,0.015798099591836895,55.49088571428572,0.061060586938775335
2400,55.791728571428564,3.84372789115637e-05,55.67485238095238,0.008945006303854877,55.677057142857144,0.00030645959183673216,55.51942857142857,0.016105133469387807,55.48840952380952,0.062020984671201616
2450,55.791728571428564,3.84372789115637e-05,55.67432380952381,0.009024357052154177,55.67609047619048,0.0002708608616780292,55.517071428571434,0.016362855374149592,55.48641428571428,0.06281126027210863
2500,55.79150952380952,4.209229024943429e-05,55.67416190476191,0.009019449024943295,55.6753380952381,0.00027196140589572033,55.51423809523809,0.016596704263038768,55.48455238095238,0.06354627297052143
2550,55.79150952380952,4.209229024943429e-05,55.67388095238095,0.009000220589569143,55.674328571428575,0.00026215632653062626,55.510380952380956,0.016643270113378617,55.48238571428572,0.06440817646258457
2600,55.79117619047619,4.1793242630386456e-05,55.67320476190476,0.008909417596371835,55.673833333333334,0.0002680136507936604,55.50720952380952,0.016617838956916077,55.48085238095238,0.06502956154194998
2650,55.79117619047619,4.1793242630386456e-05,55.67279523809524,0.008973303310657559,55.67350952380953,0.0002725932426304062,55.50386666666667,0.016669753650793557,55.479228571428564,0.06567580489795868
2700,55.79101428571429,4.5385986394557546e-05,55.67279523809524,0.008973303310657559,55.67333333333334,0.00027452126984129136,55.50277142857143,0.016777294421768545,55.47786666666667,0.06622573555555515
2750,55.79101428571429,4.5385986394557546e-05,55.67257142857143,0.008962660136054372,55.67333333333334,0.00027452126984129136,55.501495238095245,0.016889714739229178,55.47567142857143,0.06712746965986345
2800,55.79101428571429,4.5385986394557546e-05,55.672557142857144,0.008960146258503329,55.67319047619047,0.0002769960997732643,55.49799047619047,0.017082592290249346,55.474714285714285,0.06751031455782275
2850,55.79082380952381,4.615514739228892e-05,55.671780952380956,0.008972994875283427,55.67301428571428,0.0002862821768707749,55.494847619047626,0.017096693922902313,55.47283809523809,0.06826042712018089
2900,55.79080952380952,4.616562358276497e-05,55.671123809523806,0.00891974086167798,55.6727238095238,0.0002912170521542059,55.49301904761904,0.017447774875283567,55.47138095238095,0.06886481297052117
2950,55.79060476190476,4.7089977324262876e-05,55.67036190476191,0.008858119501133861,55.67180476190476,0.0003119604535147586,55.49039523809523,0.017584125215419476,55.47014761904762,0.06937397678004496
3000,55.790442857142864,5.1598639455780525e-05,55.670009523809526,0.00891773800453519,55.67145238095238,0.0003136405895691847,55.488928571428566,0.017638883945578394,55.467804761904766,0.07034640616780005
3050,55.790442857142864,5.1598639455780525e-05,55.670009523809526,0.00891773800453519,55.67096666666667,0.00031341555555555777,55.485414285714285,0.017599457414966123,55.46604761904762,0.0710860529705212
3100,55.790442857142864,5.1598639455780525e-05,55.66968571428571,0.008963194557823208,55.67062857142857,0.000330761088435372,55.483371428571424,0.017449354421768707,55.46471904761905,0.07163578344671159
3150,55.790442857142864,5.1598639455780525e-05,55.669204761904766,0.008893605215419629,55.670090476190474,0.0003264313378684773,55.480219047619045,0.017362276780045163,55.46354285714286,0.07213132149659812
3200,55.79025238095238,4.7350113378685223e-05,55.669,0.008856941904762026,55.67006190476191,0.00032648140589568804,55.476471428571436,0.017369459183673434,55.4623619047619,0.07262481569160972
3250,55.789857142857144,4.9945306122450445e-05,55.6687380952381,0.00882226426303869,55.66906190476191,0.00033877759637189155,55.47269523809524,0.017153766167800535,55.4602,0.07355635523809471
3300,55.7895380952381,5.005664399092986e-05,55.667857142857144,0.008747505306122554,55.66887142857143,0.00033251727891157857,55.46945238095238,0.017045200589569164,55.45866190476191,0.07420189092970497
3350,55.7895380952381,5.005664399092986e-05,55.666828571428574,0.008665061088435533,55.66858095238095,0.00033580916099774385,55.46624285714285,0.017143141496598527,55.4575619047619,0.07467120426303814
3400,55.7890380952381,5.596616780045701e-05,55.665771428571425,0.008562476326530781,55.66800952380952,0.0003442418140589729,55.4636619047619,0.017195526167800294,55.45581904761905,0.07542524439909284
3450,55.78889047619048,5.72103854875307e-05,55.664271428571425,0.008428604897959302,55.66764285714286,0.0003381586394557988,55.460123809523814,0.017074071337868504,55.454457142857144,0.07601203387755084
3500,55.78889047619048,5.72103854875307e-05,55.66365714285714,0.008374319591836843,55.66764285714286,0.0003381586394557988,55.45674761904762,0.016754462494331043,55.452819047619045,0.07672363678004498
3550,55.78855238095238,5.164630385487754e-05,55.662909523809525,0.008355772290249506,55.667123809523815,0.0003392065759637287,55.45331428571429,0.016502602176870843,55.45147142857143,0.07731645251700645
3600,55.78855238095238,5.164630385487754e-05,55.662528571428574,0.008331688707483059,55.66657142857143,0.00032472870748301226,55.4491619047619,0.015852790929705308,55.44992857142857,0.07797952775510146
3650,55.78855238095238,5.164630385487754e-05,55.66222380952381,0.008288478004535273,55.666114285714286,0.00033353455782313905,55.44572380952381,0.015618289433106487,55.4487380952381,0.07851802902494269
3700,55.78822857142857,5.219061224489952e-05,55.6608,0.008202946666666792,55.66561428571429,0.00035599455782314515,55.44173333333333,0.015207072698412477,55.44731428571428,0.07914335551020386
3750,55.78808095238095,5.166058956916287e-05,55.6601238095238,0.008139256099773286,55.66540952380952,0.0003526599092970704,55.43779047619048,0.014964477052154061,55.44598095238096,0.07974144058956892
3800,55.78772857142857,5.326965986394581e-05,55.65972857142857,0.008101605850340119,55.66538095238095,0.0003537796371882244,55.43330952380953,0.01466700562358267,55.44473333333334,0.0802968269841268
3850,55.78758095238095,5.595773242630123e-05,55.65956666666666,0.008096677460317482,55.66507142857143,0.0003580829931972967,55.42825714285715,0.014281785306122547,55.44389523809524,0.08066897092970492
3900,55.787214285714285,6.26002721088394e-05,55.65893333333334,0.008076320317460351,55.66485238095238,0.0003637463038549093,55.42395238095238,0.013938715827664224,55.441985714285714,0.08151548027210843
3950,55.787214285714285,6.26002721088394e-05,55.658652380952375,0.008024730113378706,55.664500000000004,0.00038226476190478834,55.42045238095238,0.013661213922902376,55.44141904761905,0.08177680916099742
4000,55.7870238095238,6.096943310657312e-05,55.65784285714285,0.008085799591836765,55.664057142857146,0.00038011768707485666,55.41510952380953,0.013239741814059035,55.44002857142858,0.08240651823129241
4050,55.78700952380952,6.090562358276302e-05,55.6577,0.008076782857142991,55.663309523809524,0.00037922086167801767,55.41077142857142,0.012923459183673536,55.43820952380952,0.0832352932426302
4100,55.78668571428572,6.20326530612227e-05,55.65689047619047,0.007949268480725693,55.662971428571424,0.0003723801360544497,55.40557619047619,0.012444690385487511,55.43731428571429,0.08364901931972768
4150,55.78668571428572,6.20326530612227e-05,55.655966666666664,0.007837412698412776,55.66282380952381,0.00037670467120183695,55.40140476190476,0.012046587120181449,55.435857142857145,0.08431665197278873
4200,55.786480952380956,6.769773242630224e-05,55.65573333333334,0.007825595555555639,55.66279047619047,0.0003760818140589783,55.396814285714285,0.011635965986394744,55.434061904761904,0.08516402616779979
4250,55.78627619047619,6.987990929705082e-05,55.655204761904756,0.007808243310657671,55.66264285714286,0.0003750681632653261,55.39159523809524,0.011063070929705156,55.43294761904762,0.08566743011337856
4300,55.78627619047619,6.987990929705082e-05,55.65451904761905,0.007788718684807326,55.66226666666667,0.0003873898412698582,55.38684285714286,0.01055301959183684,55.432319047619046,0.08594904439909279
4350,55.786114285714284,6.670503401360521e-05,55.65403809523809,0.007738607120181484,55.66187142857143,0.0003917553741496822,55.382061904761905,0.010229709024943226,55.43180952380952,0.0861838189569159
4400,55.785938095238095,7.170045351473214e-05,55.65354285714286,0.007687685306122493,55.66170952380952,0.00039327419501136013,55.376642857142855,0.009832024353741592,55.43073809523809,0.0866704147392287
4450,55.78574761904762,7.346916099772391e-05,55.65345238095239,0.0076708472562358795,55.66153333333333,0.0003854765079365261,55.37222380952382,0.009387030385487674,55.42928095238095,0.08733653106575962
4500,55.785604761904764,7.214807256234935e-05,55.65311428571429,0.007640119319727977,55.66134285714286,0.00037844340136056654,55.36777619047619,0.009101282766439964,55.428019047619046,0.08792854344671162
4550,55.785604761904764,7.214807256234935e-05,55.65290952380953,0.007603082766439988,55.660785714285716,0.0003785602721088618,55.36319523809524,0.008864467120181409,55.427252380952375,0.0882803615419496
4600,55.785604761904764,7.214807256234935e-05,55.65276190476191,0.007600687120181481,55.66043333333334,0.00037062222222224004,55.35978095238095,0.008545000589569345,55.426009523809526,0.08886222752834418
4650,55.785604761904764,7.214807256234935e-05,55.65242380952381,0.007624427528344672,55.659919047619056,0.0003604358276644125,55.35565714285715,0.008206405306122563,55.42525238095238,0.08921124154194965
4700,55.785604761904764,7.214807256234935e-05,55.65171904761904,0.007553048208616821,55.65967142857143,0.0003578591836734841,55.35078571428572,0.007779604081632726,55.42413809523809,0.08972489854875274
4750,55.785604761904764,7.214807256234935e-05,55.65161428571429,0.007534100272108869,55.65950476190476,0.00036174807256237826,55.3466619047619,0.007404857596372065,55.42350476190476,0.09002335092970515
4800,55.785604761904764,7.214807256234935e-05,55.65075238095238,0.007438688208616766,55.65912857142857,0.0003646639455782392,55.342261904761905,0.007083978548752898,55.42250952380952,0.09049367133786834
4850,55.785604761904764,7.214807256234935e-05,55.650400000000005,0.007427181904761905,55.65876190476191,0.0003587947392290345,55.33893333333334,0.006799961269841191,55.42129047619047,0.09107952943310621
4900,55.78557142857143,7.21839455782224e-05,55.650147619047615,0.007393983446712041,55.65876190476191,0.0003587947392290345,55.33539047619048,0.006589175147392207,55.420766666666665,0.09132998698412668
4950,55.78557142857143,7.21839455782224e-05,55.649766666666665,0.007365193650793669,55.6583619047619,0.00035373569160998016,55.33125714285715,0.006300655782312988,55.41985714285714,0.09175875102040776
